"","meanearly","meanlate","sdearly","sdlate","p_value"
"CD27",7.10906864353312,7.86326776699029,1.71326504235899,1.82608584049343,3.10616022797887e-06
"ARL2BP",11.1019205993691,11.188332038835,0.360068371559381,0.390503465826059,0.0111653669280966
"MTAP",8.94969208201893,8.85747859223301,0.387291851174483,0.497180881748341,0.0247680766122187
"NAA10",9.34870529968454,9.58862563106796,0.594517563742043,0.639234638111318,2.04023878310643e-05
"C6orf1",7.90453634069401,8.21840480582524,0.73933410032048,0.819733846850253,1.13656907408256e-05
"ZNF703",5.56390179810726,5.78648378640777,1.11301395672166,1.1257628483513,0.0269911256220288
"SERPINA3",6.46382247634069,7.46056533980583,2.73519144536441,2.71069914151918,5.04028879726663e-05
"GULP1",8.31216495268139,7.81099053398058,1.30586855648548,1.32968465381548,2.71863256517691e-05
"MITF",9.95997195583596,9.84174519417476,0.640566366539096,0.676810942240375,0.0468782371129519
"RGS5",15.2778869400631,14.9316295145631,1.55030127374226,1.53683156539832,0.0124684374557378
"C8orf4",9.64799921135647,9.28934815533981,1.23101303541451,1.16108498080343,0.00081489025273272
"KIAA0494",11.9645495268139,11.8301611650485,0.423264467899407,0.419908731717137,0.000403769581968645
"DGKA",8.07962302839117,8.35686286407767,0.941219685671662,0.895330473480862,0.000758462129518585
"EXTL3",10.099976340694,9.96145893203884,0.526632638452463,0.493359208963507,0.00238561672770922
"RFXANK",9.56806009463722,9.76469014563107,0.590252974809807,0.585341331490192,0.000207310944956338
"ADCY5",9.18429372239748,8.53137897087379,1.5157356609385,2.102786319201,0.000139234418567045
"FADS3",8.85766864353312,9.30995951456311,0.819667561711772,0.728142287377993,1.08989552950074e-10
"C15orf40",7.70592589905363,7.6223959223301,0.420384144469203,0.365610020315361,0.0165540271601938
"SULT4A1",1.970066170347,2.52050934466019,2.10542136188069,2.26761677296941,0.00552671941519441
"C6orf27",6.37436820189274,5.96623266990291,1.20982619776807,1.29836589812946,0.000346952349707785
"ITCH",10.431268170347,10.3381535436893,0.391522563473253,0.423142261883366,0.011720690086608
"FAP",6.49572173501577,7.13015184466019,1.59572886787474,1.71123885508388,2.60249824193953e-05
"MDGA1",6.50971315457413,6.81124067961165,1.20582383472831,1.1637789357327,0.00451580001268791
"MRPL40",9.62102107255521,9.83626184466019,0.605619579902684,0.63159615815302,0.000125985060653967
"LOC643719",2.4946584637224,2.7922027184466,0.911081581296708,1.12616437181529,0.00161578440757371
"COL14A1",9.37930782334385,9.6873963592233,1.69545205645029,1.67105735268067,0.0411191699972754
"UEVLD",7.87990063091483,7.68085519417476,0.679681532132797,0.721477336653816,0.00172966075590976
"TULP1",0.183662365930599,0.30972163592233,0.331962901097661,0.447732679560122,0.000588543320483832
"CTTNBP2",8.89231438485804,8.66872126213592,1.08170038308335,1.1685010964009,0.0282823753018218
"SPDYA",3.32639187066246,3.6961377184466,0.965742719720082,1.16731810859959,0.000180542136754462
"HNRNPA2B1",13.2951264984227,13.3984621359223,0.341789218566828,0.38036132131756,0.00170860183741531
"PLEKHB2",11.8837242902208,11.7234379126214,0.711655543017911,0.591143604359906,0.00543012131979856
"THEG",0.239996167192429,0.410212504854369,0.598825997571089,0.878481583172058,0.0153294270622763
"LOC100133161",3.78135549842271,4.02701716990291,1.26899061592938,1.37391772321699,0.0401774038617432
"LOC340508",0.857471009463722,1.04621481553398,0.909199136750418,1.0766219051165,0.0381897708154114
"PRLR",7.55318895899054,7.24055155339806,1.75209282284376,1.47350979894662,0.0283892487547301
"SLC36A1",8.94701239747634,9.14944373786408,0.824681467538727,0.703387697995788,0.00282085198125897
